Date et heure;Adresse MAC;Emplacement;Temperature
2020-01-09 21:56:14;b8:27:eb:ec:58:7b;Poste 11;55,5
2020-01-09 21:56:16;b8:27:eb:ec:58:7b;Poste 11;55,5
2020-01-09 21:56:18;b8:27:eb:ec:58:7b;Poste 11;55,8
2020-01-09 21:56:20;b8:27:eb:ec:58:7b;Poste 11;55,8
2020-01-09 21:56:22;b8:27:eb:ec:58:7b;Poste 11;55,8
2020-01-09 21:56:24;b8:27:eb:ec:58:7b;Poste 11;56
2020-01-09 21:56:26;b8:27:eb:ec:58:7b;Poste 11;56
2020-01-09 21:56:28;b8:27:eb:ec:58:7b;Poste 11;56,2
2020-01-09 21:56:30;b8:27:eb:ec:58:7b;Poste 11;56,2
2020-01-09 21:56:32;b8:27:eb:ec:58:7b;Poste 11;56,2
2020-01-09 21:56:34;b8:27:eb:ec:58:7b;Poste 11;56,2
2020-01-09 21:56:36;b8:27:eb:ec:58:7b;Poste 11;56,2
2020-01-09 21:56:38;b8:27:eb:ec:58:7b;Poste 11;56,5
2020-01-09 21:56:40;b8:27:eb:ec:58:7b;Poste 11;56,5
2020-01-09 21:56:42;b8:27:eb:ec:58:7b;Poste 11;56,5
2020-01-09 21:56:44;b8:27:eb:ec:58:7b;Poste 11;56,5
2020-01-09 21:56:46;b8:27:eb:ec:58:7b;Poste 11;56,5
2020-01-09 21:56:48;b8:27:eb:ec:58:7b;Poste 11;56,8
2020-01-09 21:56:50;b8:27:eb:ec:58:7b;Poste 11;56,8
2020-01-09 21:56:52;b8:27:eb:ec:58:7b;Poste 11;56,8
2020-01-09 21:56:54;b8:27:eb:ec:58:7b;Poste 11;56,8
2020-01-09 21:56:56;b8:27:eb:ec:58:7b;Poste 11;56,8
2020-01-09 21:56:58;b8:27:eb:ec:58:7b;Poste 11;56,8
2020-01-09 21:57:00;b8:27:eb:ec:58:7b;Poste 11;57
2020-01-09 21:57:02;b8:27:eb:ec:58:7b;Poste 11;57
2020-01-09 21:57:04;b8:27:eb:ec:58:7b;Poste 11;57
2020-01-09 21:57:06;b8:27:eb:ec:58:7b;Poste 11;57
2020-01-09 21:57:08;b8:27:eb:ec:58:7b;Poste 11;57
2020-01-09 21:57:10;b8:27:eb:ec:58:7b;Poste 11;57
2020-01-09 21:57:12;b8:27:eb:ec:58:7b;Poste 11;57
2020-01-09 21:57:14;b8:27:eb:ec:58:7b;Poste 11;57,2
2020-01-09 21:57:16;b8:27:eb:ec:58:7b;Poste 11;57
2020-01-09 21:57:18;b8:27:eb:ec:58:7b;Poste 11;57,2
2020-01-09 21:57:20;b8:27:eb:ec:58:7b;Poste 11;57,2
2020-01-09 21:57:22;b8:27:eb:ec:58:7b;Poste 11;57,2
2020-01-09 21:57:24;b8:27:eb:ec:58:7b;Poste 11;57,2
2020-01-09 21:57:26;b8:27:eb:ec:58:7b;Poste 11;57,2
2020-01-09 21:57:28;b8:27:eb:ec:58:7b;Poste 11;57,2
2020-01-09 21:57:30;b8:27:eb:ec:58:7b;Poste 11;57,5
2020-01-09 21:57:32;b8:27:eb:ec:58:7b;Poste 11;57,5
2020-01-09 21:57:34;b8:27:eb:ec:58:7b;Poste 11;57,5
2020-01-09 21:57:36;b8:27:eb:ec:58:7b;Poste 11;57,5
2020-01-09 21:57:38;b8:27:eb:ec:58:7b;Poste 11;57
2020-01-09 21:57:40;b8:27:eb:ec:58:7b;Poste 11;57,8
